personLabel	birthDate	startDate	groupBirthPlaceLabel	groupGenreLabels	groupLabelLabels
Mark Knight (sound designer)	1973-01-08	1989		Chiptune|Video game music	
Shaun Huberts	1981-01-14			Alternative rock|Country music|Folk music|Funk music|Jazz music	
Top Topham	1947-07-03	1963		Blues|Blues-rock	Blue Horizon|CBS|Sony
Mark Bassey	1961-07-16	1982		Bebop|Contemporary|Mainstream	
Don Was	1952-09-13	1979	Detroit	New wave music	
Ramón Ayala	1945-12-08	1963	Monterrey	Conjunto|Norteño (music)|Tejano music	
Phill Calvert		1973		Alternative rock|Post-punk	Mute Records
Daniel Cardoso	1981-03-28	1996			Jester Records|Nuclear Blast|The End Records
Shishir Parkhie	1967-11-07	1989	Nagpur	Devotional song|Folk music|Ghazal	Saregama|T-Series|Times Music
Jason Stollsteimer	1978-04-22		Southfield, Michigan	Alternative rock|Garage rock|Indie rock	Dim Mak Records|Fierce Panda Records|Sire Records|Sympathy for the Record Industry
Edith Peters	1926-04-14		Santa Monica, California	Blues|Jazz	
Leon Vynehall		2012		Deep house|House music|UK bass	Royal Oak|Running Back
Iracema Trevisan	1981-09-28				
Hari (singer)	1990-02-06	2010		Dance music|K-pop	
Irene Kelley		1980	Latrobe, Pennsylvania	Bluegrass music|Country music	MCA Records
Fazal Malik Akif	1947-10-22	1964	Kohat		
Steve Brown (bass player)	1890-01-13		New Orleans	Jazz	
Daryle Singletary	1971-03-10	1994		Country music	E1 Music|Giant Records (Warner)|Koch Entertainment|Shanachie Records
Karl Ferdinand Adam	1806-12-22				
Shin Ji-hoon	1998-06-23	2013		K-pop	Cube Entertainment
Antti Koivumäki	1976-12-18	1995	Espoo	Baroque pop	Bad Vugum
Osvaldo Golijov	1960-12-05		La Plata|Mar del Plata	Classical music	
Avra		1982		Club music|Dance-pop|Electronica	
Marie Adams (singer)	1925-10-19	1950	Linden, Texas	Gospel music|Pop music|R&B	Capitol Records|Peacock Records
K-KOV	1987-10-11	2005		Pop music	
Leon Ware	1940-02-16	1967	Detroit	Disco|Funk|Jazz|Rhythm and blues|Soul music	Elektra Records|Expansion Records|Motown|Stax Records|TK Records|United Artists Records
Brenda Patterson					
John Hughey	1933-12-27	1953	Elaine, Arkansas	Country music	
Esther Phillips	1935-12-23	1950	Galveston, Texas	Blues|Country and western music|Jazz|Pop music|Rhythm and blues|Soul music	Atlantic Records|Kudu Records|Mercury Records
James T. Slater				Country music|Pop music	
Skhye Hutch		2003		Hip hop music	
Shahabaz Aman			Malappuram		
Chrigel Glanzmann	1975-01-01			Celtic metal|Folk metal|Melodic death metal	Nuclear Blast
Yuri (Mexican singer)	1964-01-06	1977	Veracruz (city)	Latin pop|Mariachi|Mexican pop|Salsa music	
Casey J	1986-06-29			Gospel music	
Red Sovine	1917-07-07	1935		Country music	Decca Records|Starday
Dudu Aharon	1984-12-23	2007		Israeli music|Mizrahi music	
Anthony Callea	1982-12-13	2004	Melbourne	Dance-pop|Pop music|Pop rock	ABC Music|Sony Music Australia
Guillaume Grand	1983-10-28	2010		Folk music|Pop music	EMI Group
Frank Bello	1965-07-09	1984	The Bronx	Alternative metal|Hard rock|Heavy metal music|Thrash metal	
Suhrab Faqir			Khairpur	Folk music|Sufi music	
Jaime Jamgochian		2006		Contemporary Christian Music|Contemporary worship music	Centricity Music
Harold Budd	1936-05-24	1962	Victorville, California	Ambient music|Avant-garde music|Drone music|Neoclassicism (music)	All Saints Records|Darla Records|E.G. Records|New World Records|Samadhi Sound
Tatiana Bulanova	1969-03-06	1990	Saint Petersburg	Pop music	
Vektroid		2005		Ambient music|Drone music|Electronic music|Experimental music|Hip hop music|Lo-fi music|Plunderphonics|Vaporwave	PrismCorp
Tristan Wilds	1989-07-15	2005	Staten Island		RED Distribution
Caroline Lloyd					
Les Holroyd	1948-03-12	1960		Classic rock|Progressive rock	Harvest Records|Polydor
Coenie de Villiers	1956-10-11		Bloemfontein		
Cecil Arden	1894-12-15		New York City		
Andreas Berger (composer)					
Liane Carroll	1964-02-09	1980		Jazz	Hospital Records|Proper Records
Dean Magraw				Jazz|World music	CandyRat Records|Red House Records
Michael Schenker	1955-01-10	1969		Hard rock|Heavy metal music	BMG
Dick Rivers	1945-04-24			Rock and Roll music	
Jetpack (musician)				Instrumental rock|Surf music	
Eydie Gormé	1928-08-16	1950	Manhattan|New York City	Big band|Latin pop|Swing (genre)|Traditional pop music	
Algis Kizys			Chicago	Industrial music|No wave|Noise rock|Post-punk|Punk rock	
Brahim Mahrez		1989		Ragga|Reggae	
Charley Pride	1934-03-18	1966		Country music|Gospel music	16th Avenue Records|RCA Records
John Thomas Griffith	1960-04-03				
Charlie Peacock	1956-08-10			Contemporary Christian music|Jazz|Pop music	A&M Records|Exit Records|Island Records|Rethink (record label)|Sparrow Records
Mel Street	1935-10-21	1972		Country music	Mercury Records|Metromedia|Polydor Records
Nina van Pallandt	1932-07-15	1958			
Tim Sköld	1966-12-14	1985		Electro-industrial|Industrial metal|Industrial rock	Interscope Records|Metropolis Records|Nothing Records|Relativity Records|Wax Trax! Records
George Tipton					
Eric Dover	1967-01-19	1993	Jasper, Alabama	Hard rock|Pop rock	Eagle Records|Geffen Records|Work Records
Rosela Gjylbegu	1987-03-13	2002	Shkodër		
Dhafer Youssef	1967-11-19	1990		Ethno jazz|Jazz fusion|Jazztronica|New-age music|Qawwali|Sufi music|World music	EmArcy Records|Enja Records|Jazzland Recordings|Justin Time Records|Okeh Records
Richard Marx	1963-09-16	1980	Chicago	Alternative rock|Pop rock|Soft rock	Capitol Records|EMI|Frontiers Records|Kobalt Label Services|Manhattan Records|Signal 21 Records
Gustav Winckler	1925-10-13	1950			
Neil Strauch		2005			
Sergio Vallín	1972-05-26	1995		Rock music	Warner Music Group
Bob Gallion	1924-04-22	1958	Ashland, Kentucky	Country music	Hickory Records|MGM Records|United Artists Records
Fuzz (musician)	1952-02-09	1969		New-age music|Pop music|Rock music	A&M Records|Deutsche Grammophon|Universal Music Group
Peter Grehn				Heavy metal music|Power metal|Punk rock|Thrash metal	
Andy Fairweather Low	1948-08-02	1966	Cardiff	Blues rock|Pop music|Rock music	A&M Records
Tim Foreman	1978-08-15	1996			
Bernard Lavilliers	1946-10-07	1967	Saint-Étienne		Barclay Records
Ben Tankard	1964-01-10	1990		Contemporary Gospel|Gospel music|Jazz|Smooth jazz	Sony Music Entertainment|Tribute Records|Verity Records
Reb Beach	1963-08-31	1985	Pittsburgh	Glam metal|Hard rock|Heavy metal music|Instrumental rock|Jazz fusion|Progressive metal	
Ella Mitchell	1937-08-15		Toledo, Ohio		
Rainer Ptacek	1951-06-07	1970		American Primitivism|Americana (music)|Blues|Blues-rock|Contemporary folk|New Acoustic Music	
Vincent Delerm	1976-08-31	1998			Tôt ou tard
Simon Andrews (composer)					
Kelley Lovelace		1999	Paducah, Kentucky	Country music	
Clifford T. Ward	1944-02-10	1962			
Nune Yesayan	1969-08-05	1988	Yerevan		
John Crossingham				Indie rock	
Hot Since 82		2011		Deep house|House music|Tech house	
Naoko Ken	1953-07-07	1971	Izu, Shizuoka	Blues|Enka|Folk music|Novelty song	Pony Canyon
MickDeth	1978-03-09	1994		Alternative metal|Hard rock|Hardcore punk|Heavy metal music|Metalcore|Punk rock	Epic Records|Trustkill Records
Carlo Adolfo Cantù					
Milton Nascimento	1942-10-26	1962	Rio de Janeiro	Jazz|Música popular brasileira|Pop Rock|Rock and roll	Blue Note Records|EMI|Elektra Records|Nonesuch Records|Philips Records|Sony Music Entertainment|Warner Bros. Records|Warner Music Group
Alexandra Prince		1997	Hamburg	Dance music|House music	
Bunny Wailer	1947-04-10	1960	Kingston, Jamaica	Reggae|Roots reggae|Ska	
David Kim (violinist)	1963-05-24		Carbondale, Illinois	Classical music	
Lee Benoit				Cajun music	
John Harley Weston	1967-04-24	20		Alt Country|Blues|Folk music|Rock music	Festival Records|Polydor
Seán Keane (fiddler)	1946-07-12	1961	Dublin	Folk music|Traditional Irish music	
Casey Burgess	1988-12-19	2003	Sydney	Children's music|Pop music	
Sho Sakurai	1982-01-25	1995	Minato, Tokyo	Hip hop music|Pop music	J Storm|Johnny & Associates
Yu Xunfa	1946-01-08		Shanghai	World music	China Record Corporation
Jesse Harris	1969-10-24		New York City	Folk music|Jazz|Pop music	Dangerbird Records|Downtown Records|Tzadik Records
Ole Öhman	1973-10-13	1988		Black metal|Death metal|Industrial metal	
Pusha T	1977-05-13	1992	New York City|The Bronx	Hip hop music	Def Jam Recordings|GOOD Music|Re-Up Records
Jeff Hamilton (drummer)	1949-12-31	1975	Richmond, Indiana	Jazz	Capri Records
Rick Price	1961-07-06	1970	Brisbane	A cappella|Celtic music|Contemporary R&B|Country music|Folk rock|Gospel music|Pop rock|Rock music	Sony BMG
Dohzi-T	1969-05-13	1989		Hip hop music|Pop music	Sony Music Records|Universal Music Group
Orianthi	1985-01-22	1997	Adelaide	Alternative metal|Alternative rock|Blues rock|Hard rock|Pop punk|Pop rock|Rock music	19 Recordings|Geffen Records|Spinefarm Records
Ana Voog	1966-04-18	1986		Pop rock	
Davorin Popović	1946-09-23	1962	Sarajevo	Pop music|Progressive rock|Rock and roll|Rock music	
Claudio Celso	1955-08-04	1972		Brazilian jazz|Jazz fusion	RCA|Universal Music
Martin Freeland		1985		Goa trance|Psytrance|Techno	Perfecto Records
Erling Wold	1958-01-30	1976		Classical music|Contemporary classical music|Postminimalism	
Herbie Steward	1926-05-07	1940	Los Angeles	Jazz|Swing music	
Elisabeth White	1976-06-13	1988	Sydney	Pop music|Rock music	BMG
James Mtume		1961	Philadelphia	Electro (music)|Funk music|Hip hop music|Jazz music|Post-disco|Quiet storm|R&B|Smooth soul|Soul music	Columbia Records
Jontte Valosaari	1980-04-05	2010		Dance music|R&B|Urban pop	EMI
Rita Paul	1928-12-02	1948	Berlin		
Paul Carter (songwriter)	1988-12-12	2011			
Boldy James	1982-08-09	2009	Atlanta	Hip hop music	Decon Records|Mass Appeal Records
Xiang Xiang (singer)	1984-06-14	2004		Pop music	
Mohammed Assaf	1989-09-01	2008		Arabic music	
Joey Castillo	1966-03-30	1984	Gardena, California	Alternative rock|Hard rock|Heavy metal music|Punk rock|Stoner rock	
Saulo Roston	1989-03-22	2009		Contemporary R&B|Pop music|Soul music	Warner Music
Harper Simon	1972-09-07	1996	New York City	Indie rock	Concord Records|PIAS Recordings
Manuel Seal	1960-09-26	1992		Contemporary R&B|Gospel music|Hip hop music|Pop music|Soul music	So So Def Recordings
Victor Wulf		1989		Ambient music|Sound collage	Cleopatra Records
Rajesh Krishnan	1974-06-03		Bangalore		
Manika (singer)		2010		Pop music	
Jhikoman		1994	Dar es Salaam		
Jaroslav Tůma					
S. Ballesh	1958-04-01			Hindustani classical music	
Tyler Joseph	1988-12-01	2008	Columbus, Ohio		
Kamil Sönmez	1947-03-04		Ordu	Turkish folk music	
Suneohair	1971-05-06	1998	Niigata, Niigata	Indie rock	Epic Records|King Records (Japan)
Felipe Delgado (record producer)	1969-04-06	1987			
Matt Noveskey	1976-06-16			Hard rock	Universal Records
Amir Derakh	1963-06-20	1980	Schenectady, New York	Alternative dance|Alternative rock|Dance rock|Electronic rock|Glam metal|Hard rock|Heavy metal music|Indietronica	Metropolis Records|Warner Bros. Records
Bhalchandra Panchwadkar					
Damares	1980-01-30	1997	Umuarama	Gospel music|Pop music	Sony Music
David Schnitter	1948-03-19		Newark, New Jersey	Hard bop|Jazz	
Gregg Giuffria	1951-07-28	1975		Album-oriented rock|Hard rock|Heavy metal music|Progressive rock	
Mike Davenport	1968-09-13	1990		Hardcore punk|Pop punk|Punk rock	Columbia Records|Fat Wreck Chords|Kung Fu Records|Sony Records
Yolanda Kondonassis			Norman, Oklahoma		Channel Classics Records|New World Records|Telarc International Corporation
Benjamin Kamins	1952-12-13		Los Angeles	Classical music|Opera	
Amit Kumar	1952-07-03	1965			
Django Bates	1960-10-02	1980		Fusion (music)|Jazz	E.G. Records|ECM (record label)|JMT Records|Screwgun
Richard Wright (musician)	1943-07-28	1962		Art rock|Electronic music|Experimental rock|Jazz|Progressive rock|Psychedelic rock	Capitol Records|Columbia Records|EMI|Harvest Records
Sigurd Hole	1981-07-13			Jazz	NorCD
Christian O'Connell	1973-04-07	1999	Winchester		
Patricia O'Callaghan	1970-10-02	1997	Dryden, Ontario	Cabaret|Opera|Pop music	
Ney Mello		1974		Bossa nova|Jazz fusion	
Lloyd Knibb	1931-03-08		Kingston, Jamaica	Reggae|Rocksteady|Ska	Studio One (record label)|Treasure Isle
Alis Lesley					
Cheikha Rabia		1945	Relizane	Electronica|Raï|Rock music	Virgin Records
Harriet Wheeler	1963-06-26			Alternative rock	
Jenny Simpson		1998		Country music	Universal Music Group Nashville
Mark Barkan					
Robert Plant	1948-08-20	1965		Blues|Country music|Folk music|Hard rock|Heavy metal music|Rock music	Atlantic Records|Mercury Records|Nonesuch Records|Rounder Records|Sanctuary Records Group|Swan Song Records|Universal Records
Mariko Ebralidze				Contemporary R&B|Jazz music|Pop music|Soul music	
Jens Fredrik Ryland	1974-05-05			Avant-garde metal|Black metal|Doom metal|Folk metal|Melodic black metal|Symphonic black metal|Viking metal	
Gloria Belle	1939-09-06	1957		Bluegrass music	
Sanrabb	1975-11-13	1993	Stavanger	Black metal	
Riccardo Tesi	1956-02-18	1978	Pistoia	Chanson|Folk music|Italian folk music|World music	
Jiaxin Cheng	1974-10-02			Classical music	
Vico C	1971-09-08	1985	Brooklyn|New York City	Ballad|Christian hip hop|Hip hop music|Hip house|Rap music|Reggae|Reggaeton|Urban music	Capitol Latin
Pascal Obispo	1965-01-08	1990		Pop music|Progressive rock|Rock music	
Vinny Chase					
Adam Yauch	1964-08-05	1979	Brooklyn|New York City	Alternative hip hop|Hardcore punk|Hip hop music|Rap rock|Rock opera	Capitol Records|Def Jam Recordings|Grand Royal
Tony Flaim	1948-04-20			Blues	
René Touzet	1916-09-08	1930		Cha-cha-cha (music)|Classical music	Capitol records|GNP Crescendo|RCA Records
Leslie Osborne (composer)					
David Paich	1954-06-25	1973	Los Angeles	Pop rock|Soft rock	
Jaruwat Cheawaram	1991-09-29	2012		Folk music|Pop music|R&B	GMM Grammy
Arkady Severny	1939-03-12		Ivanovo		
John West (singer)	1983-05-11	2004	Baton Rouge, Louisiana	Contemporary R&B|Hip pop|Pop music	Def Jam Recordings|Island Records|Mercury Records
Rahma Mezher	1987-01-19			Arabic Music|Music of Iraq	
Simon Bob Sinister					
Stephen Jones (Babybird)	1962-09-16	1995			
Lido (musician)	1992-10-26	2005			
Ranking Dread		1980		Dancehall|Reggae	Greensleeves Records
Art Tatum	1909-10-13	1927	Toledo, Ohio	Jazz|Stride (music)	Brunswick Records|Decca Records|Folkways Records|Verve Records
Cypress Grove (musician)		1979		Alternative rock	Glitterhouse
Rayven Justice	1991-08-13	2008	Oakland, California	Hip hop music|R&B|Soul music	Empire Distribution
Natalie McCool		2012		Alternative music|Electronic music|Indie music|Pop music	
Eduardo Benavente	1962-10-30	1980	Madrid	Gothic rock|Post-punk|Punk rock	
Tommy Muellner	1953-01-25			Jazz	
Paul Dean (guitarist)	1946-02-19	1972	Vancouver	Rock music	Capitol Records|Columbia Records
Jenny Scheinman	1979-06-08		Jacksonville, Florida	Country music|Folk music|Jazz	
Danielle Nicole				Blues|Soul music	Concord Music Group|Concord Records
Lee Tomboulian	1960-01-08	1980		Afro-cuban jazz|Bossa nova|Jazz	
Malcolm Dalglish	1952-08-14			Celtic music|Folk music	
Joe Walsh	1947-11-20	1964	Wichita, Kansas	Blues rock|Country rock|Hard rock|Pop rock	ABC Records|Asylum Records|Atlantic Records|Dunhill Records|Epic Records|Fantasy Records|Full Moon Records|MCA Records|Probe Records|The Orchard (company)|Warner Bros. Records
Sister Rosetta Tharpe	1915-03-20	1919	Cotton Plant, Arkansas	Blues|Gospel music|Jazz|Rhythm and blues|Rock music	
Jim Cherry	1971-08-02	1989			Epitaph records|Fat Wreck Chords
Andy Gibson (singer)	1981-09-15	2011	Spokane, Washington	Country music	Curb Records|R&J Records
Sarazino	1970-03-03		Constantine, Algeria	African funk|Hip-hop music|Latin music (genre)|Reggae|World music	Cumbancha
Borkung Hrangkhawl	1987-10-07	2012		Hip hop music	
Kaan Akalın	1997-06-03	2015	Istanbul	Contemporary R&B|Dance-pop|Pop music	
Gracie Cole	1924-09-08				
Tim Barry		1990		Folk Punk|Folk music|Punk rock	Chunksaah Records|Resist Records|Suburban Home Records|Xtra Mile Recordings
Mark Mussler					
Ed Wilson (singer)	1945-07-29	1958	Rio de Janeiro	Gospel music|Música popular brasileira|Rock and roll	
Aryn Michelle	1983-09-09	2006	Fort Worth, Texas	Christian alternative rock|Contemporary Christian music|Contemporary worship music	
Phil Pritchett	1971-09-04	1990		Country music|Rock music	
Jay Mya	1985-10-18			Dance music|Pop music|R&B	
Nate Sallie	1976-10-28	2003	Kettering, Ohio		Curb Records
Deke Leonard	1944-12-18	1962		Progressive rock|Psychedelic rock|Rock and Roll	
Troy Gregory	1966-11-13	1988	Detroit	Alternative rock|Indie rock|Progressive rock|Thrash metal	
Rob Oswald		1996	Baltimore	Rock music|Stoner rock	
Mick Pointer	1956-07-22	1979		Neo-progressive rock	
Charlie Jones (musician)	1965-10-13	1981	Bristol		
Margo Buchanan					London Records|MCA Records
Craig Harris	1953-09-10	1976		Jazz	Black Saint/Soul Note|India Navigation|JMT Records
Bruno Ravel	1964-05-01	1970		Glam metal	
Princess Chelsea		2009	Auckland	Baroque pop|Indie pop|Synthpop	Lil' Chief Records
Eric Sardinas	1970-11-10	1999	Fort Lauderdale, Florida	Blues|Blues-rock	
Larry Taylor	1942-06-26	1965	New York City	Avant-garde|Blues|Blues rock|Rock and roll	
Chris Deaner		2001			Absolutely Kosher Records|Teenbeat Records
Ayke Agus	1949-12-30	1969			
Mysore Srikanth				Carnatic music	
Minna Keal					
Vaginal Davis		80		Experimental music|Performance art|Punk rock|Queercore	Dischord Records|Mr. Lady
Palito Ortega	1941-03-08				
Steve Shapiro	1963-04-21	1985		Jazz	
Ron Kavana				British Blues|British soul|Celtic Music|Folk Rock|Folk music|Rhythm and Blues	
Gus Cannon	1883-09-12	1898		Folk blues	Folkways Records|Paramount Records|Stax Records
Tito Mora	1940-06-25	1950	Madrid		
Sue Thompson	1925-07-19	1950		Country music|Pop (music)	Hickory Records
Tony Lovato	1980-06-20	1995		Melodic hardcore|Pop punk|Punk rock|Ska punk	
Gilda (Italian singer)	1950-05-31	1969		Pop music	
James Duncan (musician)	1968-11-12	1993	Toronto	Disco|Free Jazz|House Music	
Kalpana Raghavendar	2016-01-08			Carnatic music|Playback singer	
Dan Smith (singer)	1986-07-14	2008		Alternative rock|Electropop|Indie pop|Indie rock	Capitol Records|Universal Music Group|Virgin EMI Records|Virgin Records
Roy Cousins			Kingston, Jamaica	Reggae	
Rene Rancourt	1939-08-04		Lewiston, Maine		
Pete Wright (musician)				Anarcho punk|Experimental music	Crass Records
Pete Sandoval	1963-05-21	1986	Santa Ana, El Salvador	Death metal|Grindcore	
Ashwini Bhide-Deshpande	1960-10-07	1980		Bhajans|Khayal|Thumris	
Rollz		2010		Drum and bass|Drumstep|Dubstep|Electro house	Formation Records
Jewel Akens	1933-09-12		Houston		
Wesley Dennis	1963-04-22	1995		Country music	Mercury Nashville
JJ Polachek	1991-05-10	2008		Christian metal|Deathcore|Doom metal|Melodic death metal	
Jasmine Murray	1992-12-14	2006	Columbus, Mississippi	Pop music	Fair Trade Services
Singer Usha	1980-05-29	1999		Playback singer	
Add-2	1986-03-31	2006	Chicago	Hip hop music	It's a Wonderful World Music Group
Khushboo Jain	1988-10-09	2003		Ambient music|Filmi|Folk Music	Super Cassettes Industries|Venus Records
Chris Wood (folk musician)		1990		Folk music	
Jared Rushton	1974-03-03	1986	Provo, Utah		
Raj Ramayya					
B.B. King	1925-09-16	1948		Blues|Blues rock|Rhythm and blues	ABC Records|BluesWay Records|Crown Records|Geffen Records|Kent Records|MCA Records|RPM Records (USA)
Ginuwine	1970-10-15	1995		Contemporary R&B	550 Music|Asylum Records|Epic Records
Sandy Kilpatrick		1999		Folk rock|Indie folk|Soul music	Ugly Man Records
Dan Lilker	1964-10-18	1981	New York City	Black metal|Crossover thrash|Death metal|Grindcore|Hardcore punk|Heavy metal music|Speed metal|Thrash metal	
Vanessa Chinitor	1976-10-13		Dendermonde	Pop music	
Kenny Garrett	1960-10-09	1978	Detroit	Jazz|Jazz fusion|Post-bop	Atlantic Records|Criss Cross Jazz|Mack Avenue Records|Warner Bros. Records
Anne Marie Cyr		1982	Montreal	Pop music|Synthpop	Musi-Video
XLA (singer)	1981-02-11	1997	Kingston, Ontario	Electronic dance music|Fusion (music)|Urban music	
S. V. Venkatraman	1911-04-25				
Gretchen Wilson	1973-06-26	1996		Country music|Country rock	Columbia Records|Epic Records|Redneck Records
Joe Meek	1929-04-05	1954		Experimental pop|Outsider music	Columbia Graphophone Company|Coral Records|Decca Records|Ember Records (UK label)|HMV|London Records|Oriole Records (UK)|Parlophone|Pye Records|Rank Organisation|Tower Records (record label)|Triumph Records (UK)
Epaksa	1954-10-05	1989			Universal D
DJ Dougal		1989		Happy Hardcore|UK Hardcore	
Julie Crochetière	1980-07-10	2000	Montreal	Blue-Eyed Soul|Pop music	Universal Music Group
Frank Foster (country singer)		2011		Country music	
Ari Gold (musician)	1974-02-11	1996	New York City	Adult contemporary music|Contemporary R&B|Dance music|Pop music|Soul music	
Alex Neri	1970-06-16	1986		Dance music|Electronic rock|Indie rock	
Juno Mak		2002		Cantopop	Silly Thing|Universal Music Group
Matt Letley	1961-03-29			Hard rock	
Aman Trikha	1986-12-12		Mumbai	Playback singer	
Resurrector	1971-05-10	1995		Dubtronica|Electronica|Hip hop music|Reggae fusion|Trip hop	
Andrea Een	1947-01-22			Classical Music	
Jim Fairchild	1973-10-08	1992	Fresno, California	Indie rock	Dangerbird Records|V2 Records
Kenny Chesney	1968-03-26	1993	Knoxville, Tennessee	Country music	BNA Records|Capricorn Records|Columbia Records
Hugh Harris (singer)		1989		Funk|Pop music|R&B|Rock music|Soul music	Capitol Records
Rick DellaRatta	1961-10-23			Jazz	
Tommy Collins (singer)	1930-09-28	1950	Bethany, Oklahoma	Bakersfield sound|Country music	Capitol Records|Columbia Records
Mahlon Clark	1923-03-07	1933	Portsmouth, Virginia		
Bunny Rugs	1948-02-06	1960		Reggae	
Eliana Printes			Manaus		
David Marks (songwriter)	1944-02-12				
Jim Lill		2015	Portland, Michigan	Country music	
Neil Levine		1989		Hip hop music	Battery Records (hip hop)|Capitol Records|Imperial Records|Penalty Recordings|Sony Music Entertainment|TVT Records
Willy Northpole	1980-02-22	2007		Hip hop music	Def Jam Records|Disturbing tha Peace
Gino Santercole	1940-11-23	1960	Milan	Art rock|Folk rock|Protest music|Soundtrack music	
Leopold Grützmacher			Dessau		
Leon Russell	1942-04-02	1956	Lawton, Oklahoma	Blues rock|Country music|Folk music|Folk rock|Rhythm and blues|Rock music	Capitol Records|Paradise Records|Shelter Records
Brian Haner	1958-04-07	1977		Country music|Metal music	Independent record label|Polydor Records
Jose Peña Suazo	1967-01-18	1994	Cotuí	Merengue music	
Giusy Ferreri	1979-04-17	2005	Palermo	Blues|Pop music	Sony Music
Jona Lewie	1947-03-14	1967	Southampton	Blues|New wave music	Sonet Records|Stiff Records
Jimmy Roberts (composer)					
William Declan Lucey					
Joseph Shabalala	1941-08-28	1960	Ladysmith, KwaZulu-Natal		
Fats Waller	1904-05-21		New York City	Dixieland|Jazz|Ragtime|Stride (music)|Swing music	
Brandt Peterson					
Fred Lonberg-Holm				Jazz	
Wilhelm Karges			Berlin		
Warren Vache	1951-02-21			Jazz	Arbors Records|Muse Records
Emilio Munda	1982-01-14	2008			Sugar Music
Jimmie Spheeris	1949-11-05	1971	Phenix City, Alabama	Folk rock|Jazz|Jazz-rock fusion|New wave music|Rock music	Columbia Records|Epic Records
Denny Doherty	1940-11-29	1960		Folk music	Dunhill Records
David Greely	1953-06-12			Cajun music	Rounder Records
Werner Haas (pianist)					
Carolina Deslandes	1991-08-27				
Srinjoy Mukherjee	1990-02-08	2008	Kalyani, West Bengal	Hindustani Classical Music	
Vanusa	1947-09-22	1966	Cruzeiro, São Paulo	Música popular brasileira|Pop rock	Continental Records|RCA Victor|Som Livre
Christine Wyrtzen					
Adam Samuel Goldman	1971-01-17	2001		Electronic music|Pop music|Rock music	Asthmatic Kitty
Damon Ferrante					
Samuel Tai		1988		Cantopop|Mandopop	
Uday Ramachandran		2004		Indian classical music|Playback singer	
Miquel Brown	1949-02-08	1973	Montreal	Electronic dance music|Hi-NRG|Pop rock	Infinity Recordings|Nightmare Records|TSR Records
Slaid Cleaves	1964-06-09	1990		Folk music	
Gianni Morandi	1944-12-11	1962		Pop music	Epic Records|RCA Records
Maya Simantov	1982-06-25	2004	Bat Yam	Contemporary R&B|Electronic music|House music	
Nao (singer)		2014	Nottingham	Electronic music|Funk|R&B|Soul music	
Benjamin Carl Unseld	1843-10-18			Gospel Music	
Seo Ji-young	1981-06-02	2000		K-Pop	
Melinda Schneider	1971-10-07	1999		Country Music	Festival Records|Universal Music
Chris Knight (musician)	1960-06-24	1998	Slaughters, Kentucky	Americana (music)|Country music|Singer-songwriter	Decca Records|Dualtone Records
Harald Rohlig	1926-10-06	1948			
Robert Kraft (composer)				Film score	
Landy Wen		1998	Hsinchu	C-Pop|R&B	
Tina Bride	1977-12-23		Sint-Truiden		
T. O. L. D.		2014	Birmingham	Electropop|Synthpop	Iamsound Records
Grażyna Brodzińska	1951-05-03	1969		Operetta	
Charlie Monroe	1903-07-06	1920		Bluegrass music|Country music	Decca Records
Simaro Lutumba	1938-03-19	1960		Soukous	
Seán Ó Riada	1931-08-01		Cork (city)		
Liz Hengber	1959-08-22	1986	Brooklyn	Country music	
Murray Boren					
Stephanie Beaumont		1995		Country music	
Anne Shelton (singer)	1923-11-10	1942			
Nely	1987-03-19	2004		Contemporary R&B|Hip hop music|Reggaeton	Machete Music
Aziz Ibrahim		1987	Manchester	Progressive rock	
Nazmun Munira Nancy	1987-12-13	2007			
Micah Barnes	1960-05-30	1980	Vienna	Pop music	
Jake Gosling				Acoustic music|Dance music|Hip hop music|J. Philip Grime|Pop music	
Dariush Eghbali	1951-02-04		Tehran	Persian pop|Rock music|Symphonic Music	
Celso Valli	1950-05-14		Bologna|Milan		
John Leventhal	1952-12-18		New York City	Country music	
Davy DMX	1960-10-03		Beckley, West Virginia	Breakbeat|Old school rap	Def Jam Recordings|Tuff City
Stephanie Ho		2009			
Irwin Thomas	1971-01-06	1990	Manhattan	Alternative rock|Hard rock|Pop rock|Rock music	BMG
IAMX		2004		Alternative music|Dark cabaret|Industrial music|Synthpop	61 Seconds|Major Records|Metropolis Records
Alexi Laiho	1979-04-08	1993	Espoo	Melodic death metal|Neo-classical metal|Power metal|Symphonic black metal|Thrash metal	Century Media Records|Nuclear Blast|Spinefarm Records
Keba Jeremiah		2008	Dubai	Acoustic music|Blues rock|Contemporary R&B|Contemporary worship music|Funk|Gospel (genre)|Jazz|Pop (genre)|Rock (genre)|World music	
Pate Mustajärvi	1956-07-12	1977	Tampere	Rock music	
Maria Kannegaard	1970-10-06			Jazz	
Claudio Sanchez	1978-03-12	1995		Alternative metal|Alternative rock|Electronica|New prog|Post-hardcore|Progressive rock	Columbia Records|Sony BMG Music Entertainment
Vincente Gomez	1911-07-08		Madrid		
TiA	1987-06-11	2004	Yokohama	Japanese pop	Pony Canyon|Rainbow Entertainment|Sony Music Entertainment Japan
Ilona Sojda	1987-05-26		Kielce	Acoustic Music|Alternative Music|Electronica|Sung poetry	
Isabel Suckling	1998-03-24				Decca records
List of Hurd band members	1969-06-18	1992			
Marlon Klein	1957-12-13	1976		Fusion (music)|World music	
